delivery_id,drone_id,route_id,delivery_date,departure_time,weather_condition,temperature,wind_speed,precipitation_mm,distance_km,battery_level_start,package_weight_kg,package_type,delivery_zone,delivery_area,traffic_congestion,pilot_experience_years,drone_model,battery_consumption_rate,landing_accuracy_m,flight_duration_min,battery_level_end,arrival_time,delivery_success
D-000001,DRN-052-A,RT-NSK-KZN-13,2023-09-17,2023-01-01 08:13:00,Rainy,20.63,3.8,0.23,4.29,97.22,8.93,Standard,Industrial,Urban,Medium,2.38,ND-Speedster-X1,79.17,1.44,17.85,73.67,2023-01-01 08:30:51.055826724,1
D-000002,DRN-015-C,RT-SPB-MOW-11,2023-09-20,2023-01-01 19:08:00,Sunny,9.6,4.31,1.52,3.95,89.56,16.83,Standard,Residential,Suburban,Medium,0.48,ND-Light-Carry-X1,117.68,1.3,13.69,62.7,2023-01-01 19:21:41.676996228,1
D-000003,DRN-072-A,RT-SPB-EKB-11,2023-09-28,2023-01-01 08:37:00,Rainy,-1.32,3.81,2.05,1.75,83.6,6.49,Standard,Residential,Suburban,Medium,2.29,ND-Heavy-Lift-X1,62.66,2.19,15.61,67.3,2023-01-01 08:52:36.815453598,1
D-000004,DRN-021-C,RT-KZN-SPB-16,2023-02-07,2023-01-01 09:40:00,Sunny,0.34,3.03,0.95,2.93,92.69,9.59,Perishable,Residential,Rural,Medium,1.34,ND-Heavy-Lift-X1,76.38,1.72,13.21,75.87,2023-01-01 09:53:12.732630210,1
D-000005,DRN-083-C,RT-KZN-KZN-17,2023-07-22,2023-01-01 06:40:00,Rainy,-0.55,0.75,1.38,7.11,83.02,18.85,Standard,Residential,Rural,Medium,1.73,ND-Light-Carry-X1,128.15,2.25,35.48,7.24,2023-01-01 07:15:28.726388466,1
D-000006,DRN-075-C,RT-KZN-EKB-19,2023-08-12,2023-01-01 17:31:00,Sunny,37.54,1.64,0.25,4.82,99.26,2.98,Hazardous,Rural,Suburban,High,0.63,ND-Speedster-X1,43.53,1.99,18.67,85.72,2023-01-01 17:49:40.298225130,1
D-000007,DRN-088-A,RT-KZN-KZN-02,2023-12-13,2023-01-01 09:25:00,Rainy,18.45,4.73,0.57,1.81,94.07,3.01,Standard,Residential,Suburban,Medium,2.31,ND-Speedster-X1,45.02,1.22,14.53,83.16,2023-01-01 09:39:32.072236902,1
D-000008,DRN-100-C,RT-MOW-NSK-06,2023-02-21,2023-01-01 10:58:00,Cloudy,8.0,2.22,1.87,4.88,95.13,3.3,Standard,Residential,Urban,Low,0.33,ND-AllTerrain-X1,48.02,1.96,23.89,76.01,2023-01-01 11:21:53.295935058,0
D-000009,DRN-022-A,RT-KZN-SPB-07,2023-03-22,2023-01-01 18:48:00,Cloudy,3.48,2.08,0.68,6.56,93.59,11.04,Standard,Industrial,Urban,High,0.94,ND-Light-Carry-X1,81.79,1.94,32.49,49.29,2023-01-01 19:20:29.639547588,1
D-000010,DRN-002-B,RT-MOW-NSK-06,2023-12-22,2023-01-01 19:16:00,Rainy,4.73,5.7,0.64,5.95,81.95,24.68,Perishable,Industrial,Urban,Medium,0.69,ND-Speedster-X1,152.87,2.31,28.49,9.37,2023-01-01 19:44:29.294735010,1
D-000011,DRN-038-B,RT-NSK-KZN-11,2023-07-30,2023-01-01 11:57:00,Sunny,7.69,0.02,0.32,1.48,89.31,3.66,Perishable,Residential,Suburban,Medium,2.21,ND-AllTerrain-X1,45.51,1.73,6.58,84.32,2023-01-01 12:03:34.740833232,1
D-000012,DRN-064-A,RT-SPB-NSK-04,2023-01-07,2023-01-01 18:14:00,Sunny,30.8,4.55,1.36,1.7,93.03,4.94,Hazardous,Industrial,Urban,Medium,2.29,ND-Speedster-X1,50.02,1.66,11.0,83.86,2023-01-01 18:25:00.011174472,1
D-000013,DRN-033-B,RT-SPB-MOW-05,2023-12-29,2023-01-01 06:12:00,Cloudy,14.64,2.69,2.49,0.52,84.59,4.57,Standard,Residential,Urban,Medium,5.17,ND-Speedster-X1,59.11,1.22,6.06,78.61,2023-01-01 06:18:03.870693881,1
D-000014,DRN-022-A,RT-KZN-EKB-07,2023-02-14,2023-01-01 07:29:00,Rainy,-2.37,1.89,0.95,4.46,93.59,7.84,Standard,Residential,Urban,Medium,4.57,ND-Light-Carry-X1,67.24,2.56,22.06,68.86,2023-01-01 07:51:03.866688408,1
D-000015,DRN-089-A,RT-MOW-MOW-01,2023-11-11,2023-01-01 08:54:00,Cloudy,42.73,1.67,0.18,8.21,96.4,14.04,Oversized,Commercial,Suburban,Medium,2.57,ND-Light-Carry-X1,102.07,2.17,38.23,31.36,2023-01-01 09:32:13.680435780,1
D-000016,DRN-091-C,RT-MOW-NSK-06,2023-10-04,2023-01-01 07:52:00,Sunny,1.32,0.76,2.73,4.9,85.5,18.67,Oversized,Residential,Urban,High,1.57,ND-Light-Carry-X1,129.64,2.5,23.49,34.74,2023-01-01 08:15:29.580130788,1
D-000017,DRN-042-C,RT-SPB-SPB-11,2023-09-16,2023-01-01 14:43:00,Cloudy,7.91,1.63,0.11,3.47,83.99,4.15,Standard,Industrial,Suburban,Medium,0.93,ND-Speedster-X1,48.87,1.48,7.18,78.14,2023-01-01 14:50:10.763237106,1
D-000018,DRN-062-B,RT-MOW-MOW-13,2023-05-22,2023-01-01 17:57:00,Cloudy,30.72,1.99,0.96,9.07,97.66,2.24,Oversized,Industrial,Rural,Low,2.47,ND-Heavy-Lift-X1,37.4,1.61,35.54,75.51,2023-01-01 18:32:32.412205979,1
D-000019,DRN-047-B,RT-KZN-EKB-01,2023-09-15,2023-01-01 13:43:00,Cloudy,19.98,2.3,0.45,3.67,80.1,5.94,Perishable,Commercial,Urban,Medium,0.53,ND-Heavy-Lift-X1,64.98,1.44,11.7,67.43,2023-01-01 13:54:42.247323084,1
D-000020,DRN-051-C,RT-EKB-NSK-18,2023-10-12,2023-01-01 13:10:00,Stormy,9.36,4.46,4.13,11.39,85.11,4.43,Standard,Residential,Suburban,Medium,2.06,ND-AllTerrain-X1,49.34,1.12,42.08,50.51,2023-01-01 13:52:05.095746936,0
D-000021,DRN-064-A,RT-MOW-NSK-17,2023-02-06,2023-01-01 07:00:00,Cloudy,0.22,2.42,2.01,5.19,88.13,9.37,Standard,Residential,Urban,Medium,3.14,ND-AllTerrain-X1,75.61,1.83,24.17,57.67,2023-01-01 07:24:10.428789258,1
D-000022,DRN-003-A,RT-KZN-EKB-05,2023-02-14,2023-01-01 14:57:00,Sunny,3.4,6.36,1.25,2.79,93.45,2.63,Fragile,Commercial,Suburban,High,2.52,ND-Speedster-X1,41.42,1.87,21.08,78.89,2023-01-01 15:18:04.704919746,1
D-000023,DRN-051-C,RT-SPB-KZN-17,2023-04-30,2023-01-01 17:03:00,Sunny,4.12,4.08,1.65,0.41,99.94,2.11,Perishable,Residential,Urban,Low,2.23,ND-Speedster-X1,41.03,2.22,-9.68,100.0,2023-01-01 16:53:19.413863856,1
